name,ticker,fiscal_year,net_profit_margin,peer_avg_margin,margin_diff_from_peers
Adobe Inc.,ADBE,2022,0.2701,0.0740,0.1961
The Boeing Company,BA,2022,-0.0741,0.0740,-0.1481
Lockheed Martin Corporation,LMT,2022,0.0869,0.0740,0.0129
"MetLife, Inc.",MET,2022,0.0052,0.0740,-0.0688
NVIDIA Corporation,NVDA,2022,0.3623,0.0740,0.2883
"Tesla, Inc.",TSLA,2022,0.1541,0.0740,0.0801
"Uber Technologies, Inc.",UBER,2022,-0.2868,0.0740,-0.3608
Adobe Inc.,ADBE,2023,0.2797,0.1373,0.1424
The Boeing Company,BA,2023,-0.0286,0.1373,-0.1659
Alphabet Inc.,GOOGL,2023,0.2401,0.1373,0.1028
Lockheed Martin Corporation,LMT,2023,0.1024,0.1373,-0.0349
NVIDIA Corporation,NVDA,2023,0.1619,0.1373,0.0246
"Tesla, Inc.",TSLA,2023,0.1550,0.1373,0.0177
"Uber Technologies, Inc.",UBER,2023,0.0506,0.1373,-0.0867
Adobe Inc.,ADBE,2024,0.2585,0.1753,0.0832
The Boeing Company,BA,2024,-0.1777,0.1753,-0.3530
Alphabet Inc.,GOOGL,2024,0.2860,0.1753,0.1107
Lockheed Martin Corporation,LMT,2024,0.0751,0.1753,-0.1002
NVIDIA Corporation,NVDA,2024,0.4885,0.1753,0.3132
"Tesla, Inc.",TSLA,2024,0.0726,0.1753,-0.1027
"Uber Technologies, Inc.",UBER,2024,0.2241,0.1753,0.0488
Adobe Inc.,ADBE,2025,0.3000,0.2160,0.0840
The Boeing Company,BA,2025,0.0250,0.2160,-0.1910
Alphabet Inc.,GOOGL,2025,0.3281,0.2160,0.1121
Lockheed Martin Corporation,LMT,2025,0.0669,0.2160,-0.1491
NVIDIA Corporation,NVDA,2025,0.5585,0.2160,0.3425
"Tesla, Inc.",TSLA,2025,0.0400,0.2160,-0.1760
"Uber Technologies, Inc.",UBER,2025,0.1933,0.2160,-0.0227
NVIDIA Corporation,NVDA,2026,0.5560,0.5560,0.0000
